,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,LATITUDE,LONGITUDE,LocationID,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,CHOLSCREEN,COGNITION,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,DISABILITY,GHLTH,HEARING,HIGHCHOL,INDEPLIVE,KIDNEY,LPA,MAMMOUSE,MHLTH,MOBILITY,OBESITY,PHLTH,SELFCARE,SLEEP,STROKE,TEETHLOST,VISION,Geolocation,TotalPopulation,PRICE_cat2,PROPERTY TYPE_Condo/Co-op,PROPERTY TYPE_Mobile/Manufactured Home,PROPERTY TYPE_Multi-Family (2-4 Unit),PROPERTY TYPE_Multi-Family (5+ Unit),PROPERTY TYPE_Single Family Residential,PROPERTY TYPE_Townhouse,STATE OR PROVINCE_ME,STATE OR PROVINCE_NH,STATE OR PROVINCE_VT
4273,435000,4.0,2.0,2073.0,26136.0,1975.0,33,210.0,44.0378562,-71.146088,3860.0,6.4,29.4,14.7,31.5,81.0,8.5,10.6,85.6,6.2,72.3,86.9,11.0,72.4,7.0,54.6,38.8,12.4,67.2,22.9,9.2,25.6,12.6,7.9,35.5,6.5,3.1,19.0,75.1,13.5,12.0,28.7,10.0,3.1,29.7,3.1,9.8,3.8,(-71.12029917 44.04154512),4056.0,High,0,0,0,0,1,0,0,1,0
4274,469000,4.0,3.0,5532.0,39204.0,1924.0,33,85.0,43.5675164,-71.0294414,3872.0,6.9,28.9,15.6,30.8,79.5,7.7,10.8,85.4,5.8,71.2,86.5,11.7,70.3,7.3,53.2,40.0,14.9,65.6,23.7,9.0,25.4,13.1,7.3,35.2,6.6,2.9,19.9,73.9,14.4,11.7,30.2,10.4,3.1,31.5,3.0,10.8,3.7,(-71.04485909 43.56968945),3809.0,High,0,0,0,0,1,0,0,1,0
4275,565000,3.0,2.5,1750.0,2308680.0,1987.0,34,323.0,43.6437343,-71.0468132,3872.0,6.9,28.9,15.6,30.8,79.5,7.7,10.8,85.4,5.8,71.2,86.5,11.7,70.3,7.3,53.2,40.0,14.9,65.6,23.7,9.0,25.4,13.1,7.3,35.2,6.6,2.9,19.9,73.9,14.4,11.7,30.2,10.4,3.1,31.5,3.0,10.8,3.7,(-71.04485909 43.56968945),3809.0,High,0,0,0,0,1,0,0,1,0
4276,798000,3.0,1.5,2389.0,502246.0,1990.0,35,334.0,43.729662,-71.199002,3814.0,9.3,31.4,14.4,34.1,80.8,7.9,11.4,83.4,7.0,71.2,84.9,14.1,68.1,9.4,49.5,37.4,18.5,58.9,24.6,10.9,30.1,17.0,8.6,37.1,8.4,3.3,24.2,72.7,15.6,14.8,32.3,12.5,4.2,32.6,3.6,14.6,5.1,(-71.1806825 43.75313092),2329.0,High,0,0,0,0,1,0,0,1,0
4277,445000,2.0,1.5,1812.0,226512.0,1991.0,35,246.0,43.7295346,-71.4311246,3254.0,5.8,32.1,13.7,34.1,82.7,9.2,10.3,86.3,6.7,74.1,89.4,10.1,73.9,7.5,54.7,41.6,12.4,68.7,21.9,10.1,25.4,13.0,8.2,38.3,6.2,3.3,18.9,75.3,12.4,12.4,29.1,10.3,3.2,29.2,3.3,9.1,3.7,(-71.37787744 43.72505935),4049.0,High,0,0,0,0,1,0,0,1,0
4278,475000,4.0,2.0,2562.0,283140.0,1976.0,35,185.0,43.551238,-71.156381,3894.0,6.4,33.8,12.7,35.8,84.0,10.1,10.2,85.9,7.5,75.2,89.5,10.5,73.0,8.0,54.3,39.4,12.4,67.5,21.4,10.5,27.8,13.9,9.3,39.1,6.9,3.6,21.0,73.9,12.2,14.1,28.5,10.9,3.4,28.9,3.7,10.2,4.1,(-71.17188925 43.61224886),6314.0,High,0,0,0,0,1,0,0,1,0
4280,995000,3.0,3.5,2496.0,43560.0,2024.0,35,399.0,44.068340007281805,-71.15976474983657,3860.0,6.4,29.4,14.7,31.5,81.0,8.5,10.6,85.6,6.2,72.3,86.9,11.0,72.4,7.0,54.6,38.8,12.4,67.2,22.9,9.2,25.6,12.6,7.9,35.5,6.5,3.1,19.0,75.1,13.5,12.0,28.7,10.0,3.1,29.7,3.1,9.8,3.8,(-71.12029917 44.04154512),4056.0,High,0,0,0,0,1,0,0,1,0
4281,1300000,3.0,3.5,2597.0,102366.0,2024.0,35,501.0,44.06732016540477,-71.1620155876256,3860.0,6.4,29.4,14.7,31.5,81.0,8.5,10.6,85.6,6.2,72.3,86.9,11.0,72.4,7.0,54.6,38.8,12.4,67.2,22.9,9.2,25.6,12.6,7.9,35.5,6.5,3.1,19.0,75.1,13.5,12.0,28.7,10.0,3.1,29.7,3.1,9.8,3.8,(-71.12029917 44.04154512),4056.0,High,0,0,0,0,1,0,0,1,0
4285,699900,3.0,2.0,2200.0,24393.0,1985.0,39,318.0,43.7293051,-71.3600846,3254.0,5.8,32.1,13.7,34.1,82.7,9.2,10.3,86.3,6.7,74.1,89.4,10.1,73.9,7.5,54.7,41.6,12.4,68.7,21.9,10.1,25.4,13.0,8.2,38.3,6.2,3.3,18.9,75.3,12.4,12.4,29.1,10.3,3.2,29.2,3.3,9.1,3.7,(-71.37787744 43.72505935),4049.0,High,0,0,0,0,1,0,0,1,0
4292,779900,3.0,2.0,1912.0,240451.0,2006.0,40,408.0,43.6388869,-71.207074,3894.0,6.4,33.8,12.7,35.8,84.0,10.1,10.2,85.9,7.5,75.2,89.5,10.5,73.0,8.0,54.3,39.4,12.4,67.5,21.4,10.5,27.8,13.9,9.3,39.1,6.9,3.6,21.0,73.9,12.2,14.1,28.5,10.9,3.4,28.9,3.7,10.2,4.1,(-71.17188925 43.61224886),6314.0,High,0,0,0,0,1,0,0,1,0
4293,469000,3.0,2.0,1864.0,42688.0,1990.0,40,252.0,43.8187015,-71.0990223,3836.0,6.9,34.5,12.8,36.9,84.0,9.8,10.5,85.2,7.9,74.7,89.0,11.5,72.8,9.0,53.5,39.4,14.4,64.8,22.4,11.4,29.0,15.3,9.6,39.8,7.3,3.7,22.2,73.0,13.1,14.8,30.2,11.7,3.8,30.0,3.8,11.6,4.4,(-71.0712344 43.82626647),1489.0,High,0,0,0,0,1,0,0,1,0
4295,825000,1.0,1.0,1285.0,103672.0,1947.0,42,642.0,43.680173,-70.992617,3830.0,6.9,31.4,14.5,33.6,81.5,8.6,10.6,85.6,6.6,72.7,88.1,11.3,72.5,7.9,53.2,41.4,14.8,65.6,22.9,10.1,26.3,13.8,8.0,37.5,6.6,3.2,20.5,73.4,13.6,12.7,30.5,10.9,3.3,31.1,3.3,10.3,3.8,(-70.992638 43.61100076),1610.0,High,0,0,0,0,1,0,0,1,0
4296,3975000,5.0,5.5,5674.0,63162.0,2003.0,43,701.0,43.6678788,-71.351058,3254.0,5.8,32.1,13.7,34.1,82.7,9.2,10.3,86.3,6.7,74.1,89.4,10.1,73.9,7.5,54.7,41.6,12.4,68.7,21.9,10.1,25.4,13.0,8.2,38.3,6.2,3.3,18.9,75.3,12.4,12.4,29.1,10.3,3.2,29.2,3.3,9.1,3.7,(-71.37787744 43.72505935),4049.0,High,0,0,0,0,1,0,0,1,0
